repo,contributorsCount,ageInDays,commitsCount,sizeJavaFiles,sizeJavaLOC_code,sizeJavaLOC_codeAndComments,refactorPRsClosed,refactorPRsMerged,refactorPRsRejected,totaPRsCount,openIssuesCount,totalIssuesCount,forksCount,watchers
actiontech/dble,22,1000,2461,1307,173146,200374,16,14,2,818,86,955,232,632
Activiti/Activiti,176,2806,10633,2807,179382,245376,63,47,16,1603,333,1353,5664,6583
addthis/hydra,18,2336,2958,1005,92023,120420,13,10,3,272,15,13,92,438
AdoptOpenJDK/jitwatch,21,2424,938,329,69765,72031,15,7,8,97,28,194,295,2047
aionnetwork/aion,41,849,5077,977,195731,229959,108,84,24,837,26,294,111,332
Alluxio/alluxio,345,2707,30924,2029,205594,292506,402,346,56,10674,296,472,2325,4592
Anuken/Mindustry,227,1116,7279,537,58474,62807,11,8,3,1283,40,753,863,3714
apache/activemq,91,4017,10579,4383,411766,560492,8,3,5,482,45,0,1172,1742
apache/apex-core,40,1730,6121,474,75528,94190,35,27,8,604,2,0,181,347
apache/beam,314,1569,27021,4246,539284,698959,548,340,208,11606,114,0,2464,3957
apache/calcite,224,2156,4120,2026,339361,460862,74,23,51,1806,175,0,1115,1850
apache/cloudstack,207,2577,32432,5629,645605,788655,1070,853,217,3356,297,390,755,860
apache/druid,340,2766,10329,4924,649514,779817,354,288,66,6315,977,2574,2540,9633
apache/dubbo-admin,41,860,514,138,9523,12323,9,3,6,177,154,275,1347,2600
apache/eagle,30,1645,1050,1801,116208,155687,69,1,68,993,12,0,191,396
apache/flink,279,2174,21988,9964,999860,1388430,1133,247,886,11689,505,0,6975,12986
apache/geode,121,1847,9364,8726,1342919,1717005,503,337,166,5094,33,0,593,1750
apache/iceberg,77,548,801,609,81550,99576,63,53,10,653,183,213,206,472
apache/incubator-heron,106,1699,3078,1230,85565,124366,178,164,14,2468,449,571,612,3448
apache/incubator-iotdb,68,543,3492,1079,112533,145513,67,55,12,1184,27,13,167,555
apache/kafka,342,3201,7532,3075,423317,542213,691,327,364,7959,723,0,8352,15754
apache/lucene-solr,180,1579,33625,8602,1309781,1672738,101,43,58,1237,286,0,2389,3472
apache/metron,61,1625,1452,1344,128344,176597,185,0,185,1555,24,0,484,761
apache/pulsar,261,1422,4648,2321,343344,429197,128,108,20,4745,832,1394,1398,5522
apache/rocketmq,182,1267,1335,977,95844,117161,17,8,9,978,270,756,5931,10963
apache/samza,118,1894,2191,1402,108072,158962,195,44,151,1313,39,0,269,620
apache/servicecomb-java-chassis,93,1098,2662,2484,149824,200074,40,28,12,1244,118,395,608,1562
apache/servicecomb-pack,54,1037,1559,450,26860,35261,17,11,6,469,48,140,391,1693
apache/skywalking,226,1656,5662,2546,117768,170056,97,79,18,2477,102,2213,3874,13338
apache/tinkerpop,119,1929,16390,1532,146633,197762,47,36,11,1273,6,0,562,1111
apache/wicket,76,4017,20867,3243,215033,375576,14,4,10,388,6,0,343,508
apereo/cas,245,3176,16679,4512,230901,297927,168,127,41,3542,14,0,3210,7565
Awful/Awful.apk,23,3378,2509,102,14140,18449,22,19,3,472,60,176,64,100
azkaban/azkaban,92,2771,2459,765,81911,102860,189,158,31,1473,691,368,1300,3173
Azure/azure-iot-sdk-java,59,1314,1270,1016,152081,197900,57,37,20,361,22,397,169,133
ballerina-platform/ballerina-lang,267,1281,82512,5019,472022,623424,669,595,74,14494,1298,7497,547,2489
bisq-network/bisq,214,2261,11075,1744,147681,188607,126,101,25,1937,320,1997,1032,3081
bitcoinj/bitcoinj,106,2374,3525,400,76321,107544,75,5,70,904,325,759,2092,3630
bitrich-info/xchange-stream,60,1220,1198,301,19947,20951,12,8,4,359,94,127,240,403
brianwernick/ExoMedia,26,1894,615,56,6734,10067,2,1,1,178,26,512,338,1812
broadinstitute/picard,90,2245,2844,666,79348,104693,64,53,11,896,183,416,293,562
BroadleafCommerce/BroadleafCommerce,69,3085,16495,2985,197112,298433,31,25,6,874,38,1396,1079,1360
Bukkit/Bukkit,106,3425,1509,731,32560,57040,17,0,17,1036,64,0,1075,1964
Catrobat/Catroid,174,2913,11808,1472,126566,159428,414,316,98,3146,143,0,436,228
cbeust/testng,147,3613,4783,1904,85918,96134,63,56,7,916,265,1132,813,1477
cdapio/cdap,108,2118,48886,4801,422028,586294,678,611,67,12162,20,0,233,430
cgeo/cgeo,103,3236,12099,792,77965,88670,145,103,42,2598,544,5210,504,1011
chat-sdk/chat-sdk-android,15,1233,673,384,26954,30386,5,2,3,100,75,450,518,1250
cloudant/sync-android,17,2288,1321,397,40176,56218,44,40,4,428,34,146,83,252
cloudfoundry/uaa,123,3025,8801,1314,161612,174972,15,10,5,589,175,527,719,1161
CODAIT/stocator,22,1549,648,94,11516,16413,8,1,7,151,11,85,55,82
codenameone/CodenameOne,27,1881,6708,1770,382544,577338,9,5,4,165,377,2564,254,919
codice/ddf,143,2350,10876,2378,273088,343999,500,442,58,5370,77,623,183,109
confluentinc/ksql,93,1331,6644,1992,187782,233153,466,431,35,3373,794,1214,632,3391
dbfit/dbfit,17,2706,1724,271,12504,13036,48,37,11,390,128,130,83,180
debezium/debezium,172,1580,2945,148,12286,14454,52,29,23,1493,10,0,825,3150
dhis2/dhis2-core,58,1359,6554,3587,342698,492270,124,111,13,5545,55,0,180,164
dnsjava/dnsjava,11,2279,1863,251,27646,35538,4,3,1,51,2,55,116,336
drewnoakes/metadata-extractor,32,2009,1253,494,38073,54485,5,2,3,153,92,230,328,1570
dropwizard/dropwizard,357,3409,5398,852,52544,60965,56,31,25,2012,26,1251,3190,7621
dropwizard/metrics,190,3736,2642,282,22963,26963,28,14,14,998,8,575,1709,6988
DSpace/DSpace,133,2987,12333,2551,260831,371087,205,153,52,2476,281,0,949,505
ebean-orm/ebean,65,2806,4080,2971,182729,235253,34,28,6,446,21,1545,219,1059
eclipse-vertx/vert.x,161,3260,4489,811,122529,154087,56,26,30,1534,250,1629,1693,11034
eclipse/buildship,23,1891,3328,464,29768,41941,22,12,10,359,220,412,139,453
eclipse/jetty.project,142,3233,20800,2980,437391,533391,87,61,26,1665,324,2871,1562,2851
eclipse/microprofile-fault-tolerance,27,1115,863,348,14045,25784,10,8,2,322,32,190,52,71
elastic/elasticsearch,356,3754,52508,13497,1690711,2035806,1635,1300,335,32663,2779,21298,16713,48895
embulk/embulk,44,2073,2730,335,29787,33140,27,24,3,789,194,262,176,1426
EngineHub/WorldEdit,83,3522,3348,881,64421,96027,16,11,5,468,64,814,647,1513
EnMasseProject/enmasse,41,1413,7212,1010,87596,96485,288,258,30,3269,159,1129,80,167
Esri/maps-app-android,10,2507,602,16,2497,3597,9,7,2,94,1,88,159,97
EssentialsX/Essentials,173,1862,5649,442,41648,44360,22,12,10,603,208,2491,498,626
estatio/estatio,10,2514,5285,2582,178983,210123,5,4,1,54,7,37,114,186
farkam135/GoIV,48,1373,2501,252,33168,46658,56,38,18,648,96,344,150,378
FasterXML/jackson-core,60,3071,2167,276,47084,62667,9,1,8,154,45,413,571,1798
FasterXML/jackson-databind,171,3071,6494,978,122600,168744,15,8,7,433,316,1953,965,2494
flightstats/hub,30,2035,10391,502,35310,35751,54,46,8,836,46,369,23,72
fossasia/open-event-droidgen,112,1839,1394,199,13595,14000,57,39,18,1239,59,1188,857,1648
gaul/s3proxy,27,2124,789,37,8024,8872,5,1,4,106,57,159,119,835
geonetwork/core-geonetwork,75,2897,14120,1858,161704,238843,47,37,10,2295,832,1570,364,227
georgewfraser/java-language-server,22,1529,1621,558,57311,78353,3,0,3,50,29,71,50,277
geotools/geotools,207,3113,8340,11273,1339180,2395495,76,60,16,2918,16,0,866,939
getodk/collect,152,1750,6038,808,75952,88174,247,209,38,2106,160,1566,1075,515
gitblit/gitblit,100,3255,3170,540,82966,108099,11,5,6,402,241,694,606,1761
GlowstoneMC/Glowstone,115,1871,3370,1302,85583,100533,35,32,3,680,71,347,227,1168
google/blockly-android,16,1563,1272,193,26167,37215,24,23,1,404,179,196,193,603
google/gson,105,1889,1485,207,25280,34064,11,3,8,314,519,850,3480,17811
googleapis/java-bigtable-hbase,66,2238,2934,483,53783,70922,119,101,18,2186,36,312,141,129
GoogleContainerTools/jib,56,849,1399,468,41981,57558,86,82,4,1415,101,951,860,8945
graknlabs/grakn,35,1408,4286,99,6178,8640,323,283,40,3673,243,1690,244,2070
graphhopper/graphhopper,82,3014,4546,798,84703,108975,78,56,22,806,267,969,986,2626
graphql-java/graphql-java,147,1780,2249,566,45147,52974,43,32,11,966,147,784,771,4221
grpc/grpc-java,205,1990,4223,958,165604,206918,153,119,34,4682,474,1886,2494,7436
hazelcast/hazelcast,190,2982,30163,911,93697,134330,398,343,55,10796,781,5409,1317,3731
hibernate/hibernate-search,57,3505,10323,4255,281508,345324,90,44,46,2259,3,0,214,354
HotelsDotCom/styx,23,950,540,742,55110,73070,51,47,4,519,31,113,59,204
iluwatar/java-design-patterns,189,2111,2423,1372,36322,80543,25,19,6,674,178,381,18546,57755
improbable-research/keanu,25,775,6242,878,64871,69156,56,50,6,522,12,43,33,141
inception-project/inception,26,785,5393,621,60648,77512,72,55,17,687,231,788,90,158
iNPUTmice/Conversations,108,2308,6220,376,64501,67841,26,12,14,858,82,2787,1132,3526
INRIA/spoon,71,2387,3049,1765,131147,167623,605,504,101,2242,109,1020,196,917
jacoco/jacoco,37,2873,1676,607,37934,55558,18,8,10,449,101,501,665,2182
jenkinsci/blueocean-plugin,97,1579,4124,588,49319,57544,95,77,18,1999,29,0,487,2659
jenkinsci/ec2-plugin,155,3445,1163,102,10172,12040,21,13,8,440,28,0,481,220
jenkinsci/jenkins,299,3467,29954,1616,166060,246303,197,145,52,4645,51,0,6227,15483
JetBrains/intellij-plugins,166,2833,20552,4884,402400,472781,37,18,19,728,17,0,872,1496
jMonkeyEngine/jmonkeyengine,114,2253,7118,1713,202139,324719,28,14,14,690,199,477,939,2321
joel-costigliola/assertj-core,213,2624,2861,4464,192276,348619,61,18,43,922,132,804,420,1749
jtalks-org/jcommune,99,3183,6789,727,47009,73787,9,2,7,300,14,0,87,100
junit-team/junit4,143,4145,2432,471,31242,38700,50,25,25,848,140,670,2969,7857
junit-team/junit5,136,1956,6240,1233,82348,118767,37,21,16,733,235,1333,881,3930
kairosdb/kairosdb,51,2661,1368,474,45679,52860,1,0,1,182,122,318,324,1533
kiegroup/jbpm,111,3528,3799,2459,277951,360532,54,36,18,1641,11,0,1054,1098
knowm/XChange,313,3030,10224,4575,250398,274023,66,48,18,2130,252,1137,1408,2915
kohsuke/args4j,27,3260,618,141,5277,7156,2,1,1,73,79,23,170,676
ldtteam/minecolonies,73,1376,5069,1467,147835,195842,274,237,37,1765,31,3207,146,226
libgdx/libgdx,344,2840,14149,2356,278968,350252,96,50,46,2814,373,2851,6026,16910
linkedin/ambry,32,2399,2733,951,155964,219563,110,101,9,1270,125,126,246,1380
ls1intum/Artemis,54,1329,2521,1033,112662,137085,148,131,17,1032,125,340,37,99
Maescool/Catacomb-Snatch,68,3012,1961,225,21416,24861,42,36,6,598,23,377,101,286
micronaut-projects/micronaut-core,208,805,8182,2831,133645,226033,25,19,6,1379,253,1528,600,3657
molgenis/molgenis,44,2662,22920,2542,198167,208566,191,161,30,5900,272,2742,94,79
moquette-io/moquette,35,2059,1274,130,9719,12638,6,1,5,147,70,312,637,1572
MovingBlocks/DestinationSol,46,1858,1787,464,35421,46539,38,28,10,392,30,90,98,190
MovingBlocks/Terasology,250,3365,9925,2232,166141,211348,185,150,35,2127,464,1361,1248,2802
mozilla-mobile/focus-android,82,1258,2599,57,4285,5126,34,26,8,1986,636,1892,590,1566
MrCrayfish/MrCrayfishFurnitureMod,44,1970,929,110,11186,11607,4,2,2,135,120,318,119,171
naman14/Timber,32,1804,587,164,20653,23968,3,1,2,124,198,129,2030,6192
Netflix/conductor,110,1260,2091,463,55791,69257,34,29,5,726,214,734,820,2587
Netflix/eureka,81,2854,1616,404,35218,45701,48,42,6,746,50,497,2667,9315
Netflix/zuul,40,2625,883,301,20271,27923,14,12,2,356,183,272,1821,9271
netty/netty,357,3480,9864,2708,302053,407172,184,34,150,5151,428,4694,11198,23535
nextcloud/android,122,1444,14896,461,66103,84213,92,67,25,2561,711,2818,927,1817
ninjaframework/ninja,65,2902,2093,526,35022,51348,24,19,5,360,127,193,517,1869
openhab/openhab-addons,421,2199,4795,9029,692169,961484,356,270,86,4743,634,2273,2424,1313
OpenLiberty/open-liberty,205,978,17350,36135,3746546,5426452,109,99,10,6825,1256,4143,409,731
openMF/mifos-mobile,64,1457,679,257,19820,22701,34,26,8,655,328,496,407,121
openmrs/openmrs-core,342,2855,10926,1116,123398,193579,652,288,364,3093,110,0,2636,879
OpenNMS/opennms,87,2596,45615,8787,768724,1225826,146,109,37,2986,25,0,443,498
OpenRefine/OpenRefine,144,2774,4784,986,72190,102946,28,18,10,766,491,1363,1295,7331
palantir/atlasdb,111,1810,8124,2257,218805,272725,399,336,63,3707,314,734,136,717
palantir/gradle-baseline,68,1757,1195,204,18711,22280,39,30,9,1140,57,147,100,159
